player,position,team,projected_points,avg_ppg_3yr,adp,adp_stdev,times_drafted,bye,ppg_trend,points_2025,games_2025,points_2024,games_2024,points_2023,games_2023
Dallas Goedert,TE,PHI,156.3,9.19,113.8,19.7,38,10,2.71,155.1,15,82.6,10,106.8,14
Wan'Dale Robinson,WR,NYG,156.2,9.19,92.9,7.5,67,9,3.86,171.9,16,136.2,17,103.2,15
Brandon Aiyuk,WR,SF,155.8,9.16,,,,,-13.23,0.0,0,49.9,7,211.7,16
Jayden Reed,WR,GB,155.6,9.15,85.3,7.9,71,11,-3.77,39.0,5,169.5,17,185.2,16
Alec Pierce,WR,IND,154.4,9.08,61.7,6.6,61,13,5.98,159.8,15,142.9,16,79.4,17
Rashid Shaheed,WR,NO,153.3,9.02,117.7,8.8,45,11,-1.91,127.1,18,71.8,6,134.6,15
Rome Odunze,WR,CHI,152.6,8.98,48.1,6.4,74,10,10.34,124.1,12,117.9,17,0.0,0
Kareem Hunt,RB,CLE,151.9,8.93,,,,,0.62,136.4,17,143.9,13,111.0,15
Tyler Huntley,QB,BAL,151.5,8.91,,,,,2.9,40.1,5,60.7,5,25.6,5
Ryan Tannehill,QB,TEN,151.2,8.89,,,,,-8.89,0.0,0,0.0,0,80.0,9
Tyler Warren,TE,IND,150.5,8.85,70.2,8.9,136,13,8.85,150.5,17,0.0,0,0.0,0
Kristian Wilkerson,WR,LV,149.6,8.8,,,,,0.0,0.0,0,8.8,1,0.0,0
Cooper Kupp,WR,LA,148.0,8.7,155.5,15.3,16,11,-5.44,92.8,16,141.5,12,134.9,12
Michael Wilson,WR,ARI,147.4,8.67,73.3,7.1,153,14,3.34,181.6,17,101.0,16,95.5,13
Romeo Doubs,WR,GB,145.0,8.53,96.4,12.1,47,11,0.1,137.9,16,109.1,13,144.9,17
Colston Loveland,TE,CHI,144.6,8.51,59.8,9.6,164,10,8.51,136.1,16,0.0,0,0.0,0
Anthony Richardson,QB,IND,142.4,8.38,,,,,-17.34,1.7,2,162.9,11,72.7,4
David Njoku,TE,CLE,142.4,8.38,,,,,-3.7,69.8,11,116.5,11,160.7,16
Woody Marks,RB,HOU,141.4,8.32,134.8,20.2,37,8,8.32,133.1,16,0.0,0,0.0,0
Khalil Shakir,WR,BUF,140.4,8.26,107.8,7.2,28,7,2.3,130.4,16,144.5,15,93.6,16
Darren Waller,TE,NYG,139.5,8.21,,,,,1.26,76.7,9,0.0,0,87.2,12
Mark Andrews,TE,BAL,139.3,8.19,135.1,17.5,26,13,-5.0,107.0,17,161.3,17,112.9,10
Quinn Ewers,QB,MIA,138.9,8.17,,,,,8.17,32.7,4,0.0,0,0.0,0
Alexander Mattison,RB,MIN,138.5,8.15,,,,,-7.39,0.0,0,119.4,14,118.2,16
Josh Downs,WR,IND,138.3,8.14,97.9,11.4,94,13,-0.4,109.4,16,147.5,14,123.1,17
Kyle Pitts,TE,ATL,137.8,8.1,94.5,14.6,40,11,3.29,166.8,17,107.7,17,110.8,17
Kyle Monangai,RB,CHI,137.7,8.1,103.5,10.9,46,10,8.1,137.7,17,0.0,0,0.0,0
Hunter Henry,TE,NE,135.8,7.99,158.9,20.2,15,11,1.15,148.8,17,112.4,16,98.9,13
Jacory Croskey-Merritt,RB,WAS,135.8,7.99,103.3,12.4,120,7,7.99,135.8,17,0.0,0,0.0,0
Jimmy Garoppolo,QB,LV,135.7,7.98,,,,,-9.49,-1.0,3,19.9,1,64.1,7
